"Genus"	"Subgenus"	"Section"	"Series"	"Subseries"	"Species"	"Subspecies"	"NativeRange"	"DN_Observed"	"DN_Collected"	"CCA_Status"	"Synonyms"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Isobilaterales’ ms"	"sub ‘Limitaneae’ ms"	"Corymbia cliftoniana (Bungle Bungle bloodwood)"	""	"WA,NT"	"O"	"C"	"G(2)"	"E. pontis, E. cliftoniana, C. sp. Yampi Peninsula (Barrett 2280 & Start)"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Isobilaterales’ ms"	"sub ‘Limitaneae’ ms"	"Corymbia chippendalei (sandhill bloodwood)"	""	"WA,NT"	"O"	"C"	"G(3)"	"E. chippendalei"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Isobilaterales’ ms"	"sub ‘Limitaneae’ ms"	"Corymbia eremaea"	""	""	""	""	""	"E. eremaea"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Isobilaterales’ ms"	"sub ‘Limitaneae’ ms"	"Corymbia eremaea"	"subsp. oligocarpa (mallee bloodwood)"	"NT"	"O"	"C"	"G(1)m"	"E. fordeana, E. nelsonii, E. polycarpa var. oligocarpa"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Isobilaterales’ ms"	"sub ‘Limitaneae’ ms"	"Corymbia eremaea"	"subsp. eremaea (range bloodwood)"	"NT,SA,WA"	"O"	"C"	"G(3)m"	"E. australis, E. symonii, E. connerensis"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Isobilaterales’ ms"	"sub ‘Limitaneae’ ms"	"?Corymbia lenziana (narrow-leaved bloodwood)"	""	"WA"	"O"	"C"	"G(2)"	"Dubious species (possibly = C. eremaea subsp. eremaea), E. lenziana"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Isobilaterales’ ms"	"sub ‘Limitaneae’ ms"	"Corymbia opaca (desert bloodwood)"	""	"NT,WA,SA"	"O"	"C"	"G(2)"	"E. centralis, E. orientalis, E. opaca"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Isobilaterales’ ms"	"sub ‘Limitaneae’ ms"	"Corymbia hamersleyana (Hamersley bloodwood)"	""	"WA"	"O"	"C"	"G(2)m"	"C. semiclara, E. bynoeana, E. hesperis, E. hamersleyana"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Isobilaterales’ ms"	"sub ‘Limitaneae’ ms"	"Corymbia terminalis (plains bloodwood)"	""	"Qld,NT,NSW,SA"	"O"	"C"	"G(3)m"	"C. tumescens, E. terminalis"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Isobilaterales’ ms"	"sub ‘Limitaneae’ ms"	"Corymbia dampieri (pindan bloodwood)"	""	"WA,NT,Qld"	"O"	"C"	"– (2)"	"C. curtipes, C. greeniana, E. dampieri, E. blackwelliana, E. durackiana"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Isobilaterales’ ms"	"sub ‘Limitaneae’ ms"	"Corymbia byrnesii"	""	"WA"	"O"	"C"	"–"	"E. byrnesii"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Isobilaterales’ ms"	"sub ‘Limitaneae’ ms"	"Corymbia foelscheana (broad-leaved bloodwood)"	""	"NT"	"O"	"C"	"– (1)"	"E. foelscheana"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Isobilaterales’ ms"	"sub ‘Limitaneae’ ms"	"Corymbia latifolia (round-leaved bloodwood)"	""	"NT,WA,PNG,Qld,Indo?"	"O"	"C"	"– (1)"	"E. latifolia"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Isobilaterales’ ms"	"sub ‘Limitaneae’ ms"	"Corymbia porrecta (grey bloodwood)"	""	"NT"	"O"	"C"	"– (1)"	"E. porrecta"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Isobilaterales’ ms"	"sub ‘Limitaneae’ ms"	"[Corymbia × semiclara]"	""	"WA"	"O"	"C"	"–"	"= C. hamerselyana – C. opaca intergrade"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Isobilaterales’ ms"	"sub ‘Limitaneae’ ms"	"[Corymbia × opacula]"	""	"WA,NT"	"O"	"C"	"G(1)"	"= C. capricornia – C. opaca intergrade"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Isobilaterales’ ms"	"sub ‘Limitaneae’ ms"	"[Corymbia × pedimontana]"	""	"WA"	"O"	"C"	"–"	"= C. dampieri – C. opaca intergrade"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Terminalipterae’ ms (juvenile-leaved red bloodwoods)"	""	"Corymbia ferruginea (rusty bloodwood)"	""	""	""	""	""	"E. ferruginea"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Terminalipterae’ ms (juvenile-leaved red bloodwoods)"	""	"Corymbia ferruginea (rusty bloodwood)"	"subsp. ferruginea"	"NT,Qld,WA"	"O"	"C"	"– (1)"	
"Corymbia"	"Corymbia"	"Corymbia"	"‘Terminalipterae’ ms (juvenile-leaved red bloodwoods)"	""	"Corymbia ferruginea (rusty bloodwood)"	"subsp. stypophylla"	"WA,NT"	"O"	"C"	"G(2)"	"E. stypophylla, E. sp. HH in Brooker & Kleinig 1994"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Terminalipterae’ ms (juvenile-leaved red bloodwoods)"	""	"Corymbia abbreviata (scraggy bloodwood)"	""	"NT,WA"	"O"	"C"	"– (1)"	"E. abbreviata"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Terminalipterae’ ms (juvenile-leaved red bloodwoods)"	""	"Corymbia cadophora"	""	""	""	""	""	"E. cadophora, E. sp. LL in Brooker & Kleinig 1994"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Terminalipterae’ ms (juvenile-leaved red bloodwoods)"	""	"Corymbia cadophora"	"subsp. pliantha (Ellenbrae bloodwood)"	"WA"	"O"	"C"	"– (1)"	
"Corymbia"	"Corymbia"	"Corymbia"	"‘Terminalipterae’ ms (juvenile-leaved red bloodwoods)"	""	"Corymbia cadophora"	"subsp. cadophora (twin-leaved bloodwood)"	"WA"	"O"	"C"	"– (2)"	"E. cadophora subsp. polychroma"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Terminalipterae’ ms (juvenile-leaved red bloodwoods)"	""	"Corymbia zygophylla (Broome bloodwood)"	""	"WA"	"O"	"C"	"– (1)"	"E. zygophylla"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Terminalipterae’ ms (juvenile-leaved red bloodwoods)"	""	"Corymbia pachycarpa (urn-fruited bloodwood)"	""	"NT,WA"	"O"	"C"	"G(2)"	"C. pachycarpa subsp. glabrescens, E. pachycarpa, E. sp. KK in Brooker & Kleinig 1994"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Terminalipterae’ ms (juvenile-leaved red bloodwoods)"	""	"Corymbia sphaerica (big-fruited bloodwood)"	""	"NT"	"O"	"C"	"G(1)"	"E. sp. II in Brooker & Kleinig 1994"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Terminalipterae’ ms (juvenile-leaved red bloodwoods)"	""	"Corymbia papillosa (Maningrida bloodwood)"	""	"NT,WA"	"O"	"C"	"G(2)"	"C. papillosa subsp. globifera, E. papillosa, E. sp. GG in Brooker & Kleinig"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Terminalipterae’ ms (juvenile-leaved red bloodwoods)"	""	"Corymbia chartacea (Oenpelli bloodwood)"	""	"NT"	"O"	"C"	"– (1)"	"E. chartacea, E. sp. JJ in Brooker & Kleinig 1994"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Terminalipterae’ ms (juvenile-leaved red bloodwoods)"	""	"Corymbia dunlopiana (bristle-leaved bloodwood)"	""	"NT"	"O"	"C"	"–"	"E. dunlopiana, E. sp. FF in Brooker & Kleinig 1994"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Terminalipterae’ ms (juvenile-leaved red bloodwoods)"	""	"Corymbia setosa (rough-leaved bloodwood)"	""	""	""	""	""	"E. setosa"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Terminalipterae’ ms (juvenile-leaved red bloodwoods)"	""	"Corymbia setosa (rough-leaved bloodwood)"	"subsp. pedicellaris"	"Qld"	"O"	"C"	"G(1)"	
"Corymbia"	"Corymbia"	"Corymbia"	"‘Terminalipterae’ ms (juvenile-leaved red bloodwoods)"	""	"Corymbia setosa (rough-leaved bloodwood)"	"subsp. setosa"	"NT,Qld"	"O"	"C"	"G(1)"	
"Corymbia"	"Corymbia"	"Corymbia"	"‘Terminalipterae’ ms (juvenile-leaved red bloodwoods)"	""	"Corymbia deserticola (dainty bloodwood)"	""	""	""	""	""	"E. deserticola"
